vocab,syn,morphs
핵심,"중핵; 중심적, 중심적",핵심
핸드백,손가방,핸드백
햇볕,볕,햇볕
햇살,"햇볕, 햇빛",햇살
행,줄; 줄,행
행렬,"대열, 줄, 행진",행렬
행방,"자취, 종적",행방
행위,행동; 행동,행위
행적,종적,행적
행정부,정부,행정부
행진,"퍼레이드, 행군, 행렬",행진
행하다,"거행하다, 시행하다, 실행하다, 하다, 행사하다",행하
향,향기,향
향기,"향, 향내; 싱그럽다, 향긋하다",향기
향상,"발전, 진보; 개선되다/제고되다/개량되다",향상
향후,이다음,향후
허가,"승낙, 허락",허가
허겁지겁,허둥지둥,허겁지겁
허공,공중,허공
허구,"거짓, 픽션, 허위; 허위",허구
허기,"공복, 배고픔",허기
허둥지둥,허겁지겁,허둥지둥
허락,"승낙, 허가",허락
허름하다,"낡다, 너절하다",허름
허리띠,벨트,허리띠
허망,"공허감, 허무; 허무하다/덧없다/부질없다",허망
허무,"공허, 무상, 덧없다; 허망하다/덧없다/부질없다",허무
허물다,"무너뜨리다, 헐다; 헐다/무너뜨리다/철거하다",허물
허비,"낭비, 소모, 소비; 낭비하다/탕진하다",허비
허술하다,"어설프다, 엉성하다; 초라하다/어설프다/엉성하다",허술
허옇다,희다; 창백하다,허옇
허용,"승낙, 용인, 허가, 허락; 허가받다",허용
허위,거짓,허위
허점,"공백, 허",허점
허파,폐,허파
헌신,"희생, 바치다; 희생적, 희생적",헌신
헐값,"싼값, 저가",헐값
헐다,"무너뜨리다, 철거하다",헐
헐뜯다,"욕하다, 험담하다, 흉보다",헐뜯
헐렁하다,크다; 헐겁다/느슨하다/헹글헹글하다,헐렁
헐레벌떡,급히,헐레벌떡
험난하다,"고생스럽다, 어렵다; 위험하다 2가파르다",험난
험담,"욕, 헐뜯다",험담
험악하다,가파르다,험악
험하다,험준하다,험하
헛되다,한갓되다; 소용없다/무의미하다/보답없다,헛되
헛되이,한갓되이,헛되이
헛소문,뜬소문,헛소문
헛수고,헛고생,헛수
헤매다,방황하다,헤매
헤아리다,"세다; 가늠하다, 생각하다",헤아리
헤어나다,벗어나다,헤어나
헤엄치다,수영하다,헤엄치
해저,바닷속,해저
헤집다,"뒤집다, 비집다, 헤치다",헤집
헤치다,뚫다; 물리치다,헤치
헷갈리다,헛갈리다; 어리벙벙하다/덴겁하다,헷갈리
혁명,변혁,혁명
혁신,"쇄신, 유신",혁신
현기증,어지럼증,현기증
현대,현시대,현대
현명하다,"슬기롭다, 지혜롭다; 슬기롭다/지혜롭다/명철하다",현명
현실성,"실재성, 리얼리티",현실
현안,문제,현안
현장,"실지, 현지",현장
현저하다,두드러지다; 두드러지다/뚜렷하다/특출하다,현저
현지,현장,현지
현직,현임,현직
혈관,핏줄,혈관
혈액,피; 피,혈액
혐오,"미움, 증오",혐오
협동,"공동, 협력, 협심",협동
협력,"협동, 협조",협력
협박,"공갈, 으름장, 위협",협박
협상,"타협, 협의",협상
협약,"규약, 협정, 협상조약",협약
협의,"교섭, 의논, 타협, 협상",협의
협정,"조약, 협약",협정
협조,협력; 협동/협업/합동/합작/공조,협조
형상,생김새,형상
형성,"구성, 이루다; 생기",형성
형식,"폼; 공식적, 공식적",형식
형용하다,"나타내다, 말하다; 형언하다/말하다/표사하다",형용
형태,모양,형태
형편,상황; 상황/정황/환경/사정,형편
형편없다,보잘것없다,형편없
호감,호감정,호감
호되다,"심하다, 혹독하다",호되
호들갑,방정; 말이나 하는 짓이 야단스럽고 방정맞,호들갑
호소,하소연,호소
호우,폭우,호우
호응,응답; 반응,호응
호의,"선의; 긍정적, 긍정적",호의
호젓하다,고적하다,호젓
호조,쾌조,호조
호주머니,주머니; 주머니,호주머니
호출,부름,호출
호칭,명칭; 칭호/명칭/직함,호칭
호황,호경기,호황
호흡,"숨, 숨쉬기; 쉬다; 숨쉬다/한숨돌리다",호흡
호흡기,호흡 기관,호흡기
혹시나,혹시,혹시나
혹은,또는; 또는,혹은
혹평,악평,혹평
혼,"넋; 꾸짖다, 야단치다",혼
혼나다,야단맞다,혼나
혼동,"착각, 헷갈리다",혼동
혼란,"혼잡; 무질서하다, 어지럽다; 혼돈/혼동/혼선/분란",혼란
혼례,결혼식,혼례
혼인,결혼; 결혼,혼인
혼잡,혼란,혼잡
혼잣말,독백,혼잣말
혼합,복합; 섞다; 혼화,혼합
홀가분하다,가뜬하다; 산뜻하다/가볍다/가뿐하다,홀가분
홀로,"따로, 혼자; 혼자혼자",홀로
홈페이지,누리집,홈페이지
홍색,붉은색,홍색
홍수,큰물,홍수
화,재난; 화요일; 화요일,화
화두,"말머리, 이슈; 화제/주제",화두
화면,스크린,화면
화살,살,화살
화장,단장,화장
화장지,휴지; 휴지,화장지
화제,토픽; 주제/화두,화제
화창하다,"맑다, 쾌청하다",화창
화초,"꽃나무, 화훼",화초
화폐,"금전, 돈",화폐
화합,화해하다; 조화/융화/화목; 조화하다/어울리다,화합
확고하다,"굳다, 굳세다; 단호하다/과단하다/굳다",확고
확대,"넓히다, 늘리다; 확충하다/확장하다/팽창하다",확대
확립,"정립, 세우다; 성립되다/설립되다/수립되다",확립
확산,퍼지다; 증식하다/증가하다/퍼지다,확산
확신,"자신, 믿다",확신
확실하다,"분명하다, 틀림없다",확실
확실히,틀림없이,확실히
확장,"확대, 확충, 넓히다, 늘이다; 확대/팽창",확장
확충,확장; 확대하다/확장하다/팽창하다,확충
환갑,회갑,환갑
환경,여건,환경
환원,돌려주다; 되돌리다/복원하다/복구하다,환원
환하다,밝다,환하
환호,"환성, 환호성; 황성을 지르다/응원하다/성원하다",환호
환희,기쁨,환희
활,궁,활
활기,"생기, 활력",활기
활동,"거동, 움직임",활동
활력,"생기, 활기",활력
활발하다,"명랑하다, 왕성하다, 쾌활하다",활발
활약,활동; 활동하다/활황을 띠다,활약
활용,"사용, 이용",활용
황금,금,황금
황금기,전성기; 전성기,황금기
황급히,급히,황급히
황당하다,어이없다,황당
황량하다,"메마르다, 쓸쓸하다",황량
황색,누런색,황색
황제,임금,황제
황혼,땅거미; 노년,황혼
회갑,환갑,회갑
회갑연,환갑잔치,회갑연
회견,회담,회견
회담,"회견, 회의; 회의",회담
회복,낫다; 되찾다/복구하다/수복하다,회복
회상,"상기, 추억",회상
회의적∙회의적,"부정적, 부정적",회의
회전,"순환, 돌다; 돌다; 돌리다; 돌아가다",회전
회피,"기피, 도피, 피하다",회피
회화,대화,회화
획득,얻다; 습득/취득,획득
횡단,가로지르다,횡단
효,효도,효
효과,"효능, 효용, 효율, 효력, 효험; 효율적, 효율적",효과
효능,"효과, 효력, 효용, 효험",효능
효도,효,효도
효력,"효용, 효험",효력
효용,"효력, 효험",효용
효율,"효과; 효과적, 효과적; 능률/효능률",효율
후기,후반기,후기
후대,후세대,후대
후련하다,"개운하다, 시원하다; 시원하다/개운하다",후련
후보,후보자,후보
후보자,후보,후보자
후속,다음,후속
후손,"손, 자손, 후예",후손
후식,디저트,후식
후원,"원조, 지지, 도와주다; 지원하다/지지하다/부양하다",후원
후원자,후견인,후원자
후일,뒷날,후일
후퇴,,후퇴
후하다,"넉넉하다, 많다; 뒤; 뒤",후
훈훈하다,따뜻하다; 따뜻하다/따스하다/열릴하다,훈훈
훔쳐보다,"곁눈질하다, 들여다보다, 염탐하다",훔쳐
훔치다,"닦다, 씻다; 도둑질하다, 슬쩍하다",훔치
훗날,뒷날; 다음날,훗날
훤하다,밝다,훤
훼손,"손상, 해; 파손; 훼상/훼기/손상/피해; 손상을 주다/피해를 입히다",훼손
휘감다,감다,휘감
휘날리다,"나부끼다, 날리다; 흩날리다/나부끼다/흔들리다",휘날리
휘다,"구부러지다, 굴절하다",휘
휘두르다,"내두르다, 내젓다",휘두르
휘말리다,말리다; 말려들다,휘말리
휘발유,가솔린,휘발유
휴무,"휴업, 쉬다",휴무
휴식,휴게; 쉬다,휴식
휴양지,휴양처,휴양지
흉하다,"나쁘다, 불길하다",흉하
흐느끼다,울다; 흑 울다,흐느끼
흐리다,망치다,흐리
흐릿하다,흐리다; 흐리다; 흐리다,흐릿
흐뭇하다,흡족하다; 흡족하다/해낙낙하다/마땅하다,흐뭇
흐트러지다,헝클어지다; 분요하다/정돈되어 있지 않다,흐트러지
흑색,검은색; 검은색,흑색
흑자,이익,흑자
흔들리다,"떨리다, 요동하다, 흔들거리다, 흔들대다, 흔들흔들하다",흔들리
흔적,"자국, 자취; 자취/종적",흔적
흔하다,"비일비재하다, 쌔다",흔하
흔히,곧잘,흔히
흘기다,흘겨보다,흘기
흘러가다,지나가다,흘러가
흘러들다,스미다,흘러들
흙,토양,흙
흠,"결점, 하자",흠
흠뻑,"온통, 충분히",흠뻑
흡사,흡사히,흡사
흡수,빨아들이다; 흡인되다/섭취되다,흡수
흡연,끽연,흡연
흥,"감흥, 신",흥
흥겹다,"신나다, 즐겁다; 즐겁다/쾌활하다/명랑하다",흥겹
흥미,"관심, 재미; 재미있다",흥미
흥미진진하다,재미있다,흥미진진
흥분,"상기, 들뜨다",흥분
흥얼거리다,"흥얼대다, 흥얼흥얼하다; 콧노래를 부르다/흥흥 거리다",흥얼거리
흥청망청,"마구, 함부로",흥청망청
흩어지다,갈라지다; 늘어놓다/흩뿌리다,흩어지
희귀하다,"드물다, 진기하다",희귀
희다,하얗다; 하얗다,희
희미하다,"묘연하다, 불투명하다, 아리송하다; 어렴풋하다/흐릿하다/어슴푸레하다",희미
희박하다,"드물다, 적다; 밀도가 낮은 2가능성이 적은 (드물다/적다",희박
희생,헌신; 제물을 바치다,희생
희한하다,놀랍다,희한
힌트,"도움말, 암시",힌트
힐끔거리다,"힐끔대다, 힐끔힐끔하다",힐끔거리
힐끗,힐끔,힐끗
힘겹다,"고단하다, 고달프다, 힘들다",힘겹
힘쓰다,노력하다; 노력,힘쓰
힘없다,"맥없다; 무능력하다, 무능하다, 무력하다; 흘낏[휙] 보다/흝어보",힘
힘없이,맥없이,힘없이
힘주다,힘쓰다,힘주
힘차다,기운차다,힘차
값,가격,값
교수하다,가르치다,교수
중심,가운데,중심
제일,가장,제일
식구,가족,식구
군것질,간식,군것질
환승하다,갈아타다,환승
씻다,감다; 닦다,씻
고마움,감사,고마움
갑작스레,갑자기,갑작스레
가격,값,가격
돌려주다,갚다,돌려주
그곳,거기,그곳
대부분,거의거의,대부분
허언,거짓말,허언
빌딩,건물,빌딩
바깥,겉,바깥
경기,게임,경기
예식,결혼식,예식
풍경,경치,풍경
층계,계단,층
달걀,계란,달걀
셈,계산,셈
물고기,고기; 생선,물고기
고교,고등학교,고교
선택하다,고르다,선택
감사하다,고맙다,감사
치료하다,고치다,치료
금방,곧; 방금방금; 아까아까,금방
공것,공짜,공것
노트,공책,노트
아홉,구구,아홉
아흔,구십구십,아흔
귀고리,귀걸이,귀고리
거기,그곳,거기
그냥,그대로,그냥
그러므로,그래서; 그러니까,그러므로
그런데,그러나,그런데
고로,그러므로,고로
그러나,그런데; 그렇지만; 하지만,그러나
엊그제,그저께그저께,엊그제
그편,그쪽,그편
멈추다,그치다; 서다; 세우다,멈추
근방,근처,근방
글자,글씨,글자
글,글자,글
방금,금방; 금방; 금방,방금
고대하다,기다리다,고대
키우다,기르다,키우
즐겁다,기쁘다,즐겁
생활관,기숙사,생활관
기관차,기차,기관차
검정색,까만색,검정
자르다,깎다; 썰다,자르
할인하다,깎다,할인
반드시,꼭,반드시
화병,꽃병,화병
희망,꿈,희망
마지막,끝,마지막
완료되다,끝나다,완료
배분하다,나누다; 나누다/분배하다,배분
나오다,나다,나오
흐르다,나다,흐르
여분,나머지,여분
졸업하다,나오다,졸업
보이다,나타나다,보이
나흗날,나흘,나흗날
낚시질,낚시,낚시질
날씨,날날,날씨
마르다,날씬하다,마르
숭례문,남대문,숭례문
남녘,남쪽,남녘
바깥사람,남편,바깥사람
아물다,낫다,아물
내년도,내년,내년도
떨어지다,내려가다,떨어지
오다,내리다,오다
다음날,내일내일; 후,다음
널찍하다,넓다,널찍
지나다,넘다; 지나가다; 지나가다,지나
쓰러지다,넘어지다,쓰러지
입금하다,넣다,입금
너,네,너
타이,넥타이; 태국,타이
늙은이,노인,늙은이
공책,노트,공책
초록색,녹색,초록색
노닐다,놀다,노닐
경악하다,놀라다,경악
놀음,놀이,놀음
농,농담,농
두다,놓다,두다
누이,누나,누이
소식,뉴스,소식
느릿느릿하다,느리다; 느리다,느릿느릿
항상,늘,항상
노쇠하다 ,늙다,노쇠
실력       ,능력,실력
느리다,늦다늦다,느리
모두,다다; 전부전부,모두
갔다오다,다녀오다,갔다오
오가다,다니다,오가
교각,다리,교각
간단,단순,간단
버튼,단추,버튼
단풍잎,단풍,단풍잎
계란,달걀,계란
캘린더,달력,캘린더
빼닮다,닮다,빼닮
대답,답,대답
답신,답장,답신
답,대답,답
대학교,대학,대학교
단과대학,대학,단과
대학,대학교,대학
콘테스트,대회,콘테스트
많이,더,많이
길,도로,길
도회지,도시,도회지
돕다,도와주다,돕
읽다,독서; 보다,읽
갚다,돌려주다,갚
도와주다,돕다; 돕다,도와
마을,동네,마을
동녘,동쪽,동녘
놓다,두다; 주사,놓
후방,뒤쪽,후방
청취하다,듣다,청취
들어가다,들다; 입학,들어가
따스하다,따뜻하다; 따뜻하다,따스
각각,따로,각각
여식,딸,여식
시,때; 시청,시
출발하다,떠나다,출발
똘똘하다,똑똑하다,똘똘
의미,뜻,의미
식당,레스토랑; 음식점,식당
날씬하다,마르다,날씬
동네,마을,동네
끝내다,마치다; 결국/마침내/드디어,끝내
만일,만약,만일
만약,만일,만약
무척,많이,무척
언어,말,언어
그만두다,말다,그만두
깨끗하다,맑다,깨끗
맛나다,맛있다,맛나
매월,매달매달,매월
아주,매우,아주
머리카락,머리,머리카락
머리,머리카락,머리
마시다,먹다,마시
미리,먼저먼저,미리
멀찍이,멀리,멀찍이
그치다,멈추다; 멈추다,그치
서다,멈추다,서다
세우다,멈추다,세우
전언,메시지,전언
전자 우편,메일,전자
전부,모두모두,전부
내일모레,모레모레,내일모레
봉양하다,모시다,봉양
머플러,목도리; 스카프,머플러
중량,무게,중량
공짜,무료,공짜
무어,무엇,무어
매우,무척; 아주,매우
말썽,문제; 물의/분란/곤욕/곤경,말썽
고기,물고기,고기
무엇,뭐,무엇
먼저,미리; 우선,먼저
신뢰하다,믿다; 믿다; 신임하다,신뢰
아래,밑,아래
밖,바깥,밖
외측,바깥쪽,외측
교환하다,바꾸다,교환
변하다,바뀌다; 바뀌다,변하
밑,바닥; 아래,밑
송사,밖,송사
찬,반찬,찬
발밑,발바닥,발밑
식사,밥,식사
문,방문,문
찾아가다,방문,찾아가
갑절,배,갑절
공부하다,배우다,공부
설사병,배탈,설사병
습관,버릇,습관
순번,번호,순번
이미,벌써,이미
변호인,변호사,변호인
의원,병원,의원
발송하다,보내다; 보내다,발송
지내다,보내다,지내
만나다,보다,만나
더욱,보다; 훨씬,더욱
번잡하다,복잡하다,번잡
봄철,봄,봄철
쑥스럽다,부끄럽다; 수줍다/부끄럽다,쑥스럽
무안하다,부끄럽다,무안
매끈하다,부드럽다,매끈
탐나다,부럽다,탐나
일부,부분,일부
아내,부인,아내
자산가,부자,자산가
모자람,부족,모자람
근면하다,부지런하다,근면
보내다,부치다,보내
간청,부탁,간청
명료하다,분명하다; 분명하다/확실하다,명료
분홍,분홍색,분홍
연주하다,불다; 치다; 켜다,연주
가련하다,불쌍하다,가련
빨갛다,붉다,빨갛
비디오테이프,비디오,비디오
기밀,비밀,기밀
근사하다,비슷하다,근사
값비싸다,비싸다,값비싸
건물,빌딩,건물
취하다,빌리다,취하
날쌔다,빠르다,날쌔
세탁하다,빨다; 빨래,세탁
속히,빨리,속히
빼다,뽑다,빼
찾다,뽑다,찾
네,사사; 사거리; 예,네
사철,사계절,사철
문제,사고; 일,문제
정말,사실사실,정말
마흔,사십사십,마흔
비즈니스,사업,비즈니스
이용,사용,이용
가운데,사이; 중간; 중간; 중간,가운데
캔디,사탕,캔디
사흗날,사흘,사흗날
산보,산책,산보
세거리,삼거리,세거리
서른,삼십삼십,서른
생채기,상처,생채기
물건,상품,물건
날짐승,새,날짐승
신선하다,새롭다,신선
신년,새해,신년
색깔,색,색깔
그리워지다,생각나다,그리워
삼십,서른·서른; 세; 셋; 인삼,삼
구미,서양,구미
책방,서점,책방
서녘,서쪽,서녘
강사,선생님,강사
뒷설거지,설거지,뒷설거지
존함,성함,존함
세상,세계,세상
강하다,세다,강하
빨래,세탁,빨래
음,소리,음
목소리,소리,목소리
귀중하다,소중하다,귀중
스피드,속도,스피드
내의,속옷,내의
손,손가락,손
숫자,수,숫자
타월,수건,타월
수순,순서,수순
주점,술집,주점
스케이팅,스케이트,스케이팅
긴장,스트레스,긴장
버릇,습관; 습성/습관,버릇
촌,시골; 시골,촌
시모,시어머니,시모
주문하다,시키다,주문
가족,식구,가족
음식점,식당,음식점
밥,식사,밥
밥상,식탁,밥상
새신랑,신랑,새신랑
신분증명서,신분증,신분증명서
시그널,신호,시그널
밀월여행,신혼여행,밀월여행
결례,실례,결례
지나치다,심하다,지나치
열,십십,열
냉랭하다,쌀쌀하다,냉랭
적다,쓰다,적다
사용하다,쓰다; 쓰다; 이용,사용
오물,쓰레기,오물
휴지통,쓰레기통,휴지통
닦다,씻다,닦
아래편,아래쪽,아래편
부업,아르바이트,부업
암만,아무리,암만
아빠,아버지,아빠
아버지,아빠,아버지
내측,안쪽,내측
적당하다,알맞다,적당
전면,앞쪽,전면
얘,야,얘
베이스볼,야구,베이스볼
채소,야채,채소
조금,약간약간,조금
약방,약국,약방
칫솔질,양치질,칫솔질
어린아이,어린이,어린아이
엄마,어머니,엄마
빨리,어서,빨리
늘,언제나; 항상,늘
안면,얼굴,안면
어머니,엄마,어머니
히프,엉덩이,히프
에어컨디셔너,에어컨,에어컨디셔너
패스,여권,패스
이곳,여기,이곳
팔,여덟여덟; 여든여든,팔
육,여섯여섯; 예순예순,육
여성,여자,여성
철도역,역,철도역
역사학,역사,역사학
극,연극,극
십,열열,십
신열,열,신열
열흘날,열흘,열흘날
우편엽서,엽서,우편엽서
극장,영화관,극장
배우,영화배우,배우
예약,예매,예약
예매,예약,예매
다섯,오오,다섯
금일,오늘오늘,금일
내리다,오다,내리
쉰,오십오십,쉰
와이샤쓰,와이셔츠,와이샤쓰
이국,외국,이국
외인,외국인,외인
쓸쓸하다,외롭다,쓸쓸
음식,요리,음식
체육복,운동복,체육복
위편,위쪽,위편
장소,위치,장소
저명,유명,저명
여섯,육육,여섯
예순,육십육십,예순
음료수,음료,음료수
음용수,음료수,음용수
음료,음료수; 주스,음료
요리,음식,요리
이빨,이,이빨
두,이이,두
승리하다,이기다,승리
빠르다,이르다,빠르
명,이름,명
벌써,이미,벌써
금번,이번,금번
스무,이십이십,스무
사담,이야기,사담
이편,이쪽,이편
일어서다,일어나다,일어서
잃어버리다,잃다,잃
입,입술,입
잊어버리다,잊다; 잊다,잊어버리
계속,자꾸,계속
자판기,자동판매기,자판기
깎다,자르다,깎
상세히,자세히,상세히
자기,자신,자기
짜장면,자장면,짜장면
자동판매기,자판기,자동판매기
지난해,작년,지난해
컵,잔,컵
파티,잔치,파티
실수,잘못잘못,실수
잠시,잠깐잠깐,잠시
잠깐,잠시잠시,잠깐
자다,잠자다,자다
쥐다,잡다,쥐
잡지책,잡지,잡지책
완구,장난감,완구
재미나다,재미있다,재미나
저기,저곳,저기
저녁밥,저녁,저녁밥
지난번,저번,지난번
저편,저쪽,저편
쓰다,적다,쓰
알맞다,적당하다,알맞
모든,전,모든
전공과목,전공,전공
부분,전체,부분
전연,전혀,전연
전화기,전화,전화기
전화,전화기; 통화,전화
중식,점심,중식
정류장,정거장,정류장
수준,정도,수준
정거장,정류장,정거장
정돈,정리,정돈
참말,정말정말,참말
,정하다,
으뜸,제일제일,으뜸
미안하다,죄송하다,미안
주일,주주,주일
언저리,주변,언저리
주변,주위; 주위,주변
주,주일주일,주
주황,주황색,주황
복판,중심,복판
기쁘다,즐겁다,기쁘
늦다,지각,늦
시방,지금지금,시방
이제,지금지금,이제
지나가다,지나다; 지나다,지나가
먼젓번,지난번,먼젓번
전주,지난주,전주
작년,지난해,작년
따분하다,지루하다,따분
지역,지방,지역
시골,지방,시골
고무지우개,지우개,고무지우개
생업,직업,생업
진짜로,진짜진짜,진짜
만들다,짓다,만들
오르다,찌다,오르
자동차,차,자동차
차다,차갑다,차다
가득하다,차다,가득
차갑다,차다,차갑
순서,차례,순서
선량하다,착하다,선량
방문하다,찾다,방문
야채,채소,야채
일천,천천,일천
젊은이,청년,젊은이
블루진,청바지,블루진
정리,청소,정리
바라보다,쳐다보다,바라보
초빙,초대,초빙
녹색,초록색,녹색
요즘,최근,요즘
추석날,추석,추석날
떠나다,출발,떠나
등교,출석,등교
통근,출퇴근,통근
댄스,춤,댄스
무르다,취소,무르
고치다,치료,고치
닭튀김,치킨,닭튀김
동무,친구,동무
가깝다,친하다,가깝
일곱,칠칠,일곱
일흔,칠십칠십,일흔
흑판,칠판,흑판
침상,침대,침상
엽서,카드,엽서
카레라이스,카레,카레
사진기,카메라,사진기
잔,컵; 컵,잔
콧물,코,콧물
코,콧물,코
대두,콩; 어떤 세력이나 현상이 새롭게 나타나다. 머리를 쳐든다는 뜻에서 나온 말이다,대두
자라다,크다크다,자라
성탄절,크리스마스,성탄절
기르다,키우다; 키우다,기르
그을다,타다; 타다,그을
승차하다,타다,승차
섞다,타다,섞
티브이,텔레비전,티브이
특히,특별히,특히
특별히,특히,특별히
건강하다,튼튼하다,건강
켜다,틀다,켜
푸르다,파랗다,푸르
모임,파티,모임
여덟,팔팔,여덟
나가다,팔리다,나가
여든,팔십팔십,여든
손쉽다,편리,손쉽
불편하다,편찮다,불편
편리하다,편하다,편리
상시,평소; 평일,상시
티켓,표,티켓
파랗다,푸르다,파랗
깊이,푹; 푹; 푹,깊이
오래,푹,오래
끄르다,풀다; 풀다,끄르
경치,풍경,경치
지피다,피우다,지피
하숙료,하숙비,하숙료
백색,하얀색; 흰색,백색
학원,학교,학원
학교,학원,학교
한식당,한식집,한식당
조모,할머니,조모
조부,할아버지,조부
같이,함께,같이
비행기표,항공권,비행기
년,해해,년
매년,해마다,매년
국외,해외,국외
일광,햇빛,일광
행운,행복,행운
헬스장,헬스클럽,헬스
돈,현금,돈
현찰,현금,현찰
범,호랑이,범
혹,혹시,혹
성나다,화나다,성나
성내다,화내다,성내
환대,환영,환대
병자,환자,병자
재색,회색,재색
멤버,회원,멤버
후진,후배,후진
바캉스,휴가,바캉스
휴대 전화,휴대폰,휴대
쓰레기,휴지,쓰레기
쓰레기통,휴지통,쓰레기통
파워,힘,파워
어렵다,힘들다,어렵
가닥,올/줄,가닥
가상,상상/공상,가상
거리낌,주저/거침,거리낌
격려,독려/편달/면려,격려
결손,적자/손해/흠결,결손
고정관념,선입견/편견; 고치다,고정
곤경,말썽/역경/고충,곤경
갈등,대립/분쟁/알력,갈등
갈피,방향/일이나 사물의 갈래가 구별되는 어름,갈피
견문,식견/지식/정보/제보,견문
경쟁,다툼/겨룸/대적,경쟁
고집,아집/악착/진피/외고집/생억지,고집
공모,모집/대결/경연/경쟁; 음모/모의/결탁,공모
가설,가정/가언,가설
위탁,개발/제조/제작/부탁/위임,위탁
유세,켐페인/선전,유세
은퇴,퇴직/퇴임/은거,은퇴
이론,설,이론
인접,옆/곁/근접,인접
인파,군중,인파
일쑤,흔히 또는 으레 그러는,일쑤
일품,절품,일품
일환,부분/일부,일환
입지,장소/위치,입지
자각,반성,자각
자선,자혜/애휼,자선
정비,수정/영선/지탱,정비
정식,본식/의식,정식
정황,상황/정상/정경,정황
제격,적격/안성맞춤,제격
제도,시스템/법제,제도
조망,전망/조람,조망
조화,어울림,조화
주체,핵심/중,주체
줏대,등골/등뼈/기골/척추,줏대
중앙,중심/중간,중앙
지능,지적/이지/재지,지능
자렛대,레버,자렛
지반,토대/밑바탕/기초,지반
질,질적/품질,질
차질,문젯거리/문제점/과제/난점/고충,차질
찬사,청송/청탄/찬미/찬탄/찬상/탄상,찬사
참모습,본성/본바탕/본색,참모습
체질,몸바탕/체격,체질
체통,체면/품위/기품/위엄,체통
출신,볼래/기원/근원,출신
충동,순간력/충격량,충동
치안,질서/공안,치안
침투,삼투/삼입/충만/침윤/통철,침투
쾌거,통쾌하고 장한 행위,쾌거
통증,고통/아픔,통증
통합,적분/적산,통합
퇴치,근멸/근절/박본/박멸,퇴치
투기,추측/억측/짐작,투기
특집,특별판,특집
파동,난국/고비/위기,파동
판독,해독,판독
폐기물,쓰레기,폐기물
표창,추장,표창
풍모,모습/용모/풍채,풍모
핀잔,꾸중/꾸지람/야단,핀잔
핑계,변명,핑계
함양,양성/육성,함양
향수병,회향병,향수병
현황,현상,현황
혜택,이익/이득/이점/수,혜택
혹한,강추위,혹한
혼돈,혼란/난장판/대란,혼돈
화근,고민거리/말썽거리,화근
화법,말하는 방법,화법
화해,사화,화해
확답,확실하게 대답하다,확답
확률,가능성/개연성/가망/공산,확률
확보,보증/보호; 보증하다/획득하다/굳히다,확보
환상,상상/공상,환상
횡포,폭압/폭정/학정/압제,횡포
훈련,수련/단련/연수,훈련
흉내,모방/시늉,흉내
흥망,흥망성쇠,흥망
흥행,성공/성과,흥행
공익,공동의 이익,공익
공존,공생/병존/양립,공존
과찬,영합/아유/따리/편녕,과찬
궁핍,가난/궁색/곤궁/빈곤/구차,궁핍
기질,성향/경향/성품,기질
기치,플래카드/현수막,기치
기품,품격/품위/위엄/위신,기품
꼬투리,트집/탓,꼬투리
낌새,기미/조짐/분위기/느낌,낌새
나위,가치/값어치/주가,나위
낭패,실패/파탄/파산,낭패
논점,본론/논,논점
당시,그때/그즘에/그무렵에,당시
대상,목적/물체/물건,대상
돌파구,해결책/돌파,돌파구
동조,동의/일치/동감/찬성,동조
두각,우월/탁월/우능,두각
뒷전,지체/지연/유예,뒷전
디딤돌,수단/발판/거점,디딤돌
또래,동년배/연배/동료,또래
마구잡이,무작위/되는대로/닥치는대로,마구잡이
막무가내,고집,막무가내
막판,마지막 순간/최후,막판
만료,만기/종료,만료
망상,착각/허상/망념,망상
망정,그래도/그렇지만,망정
매듭,결론/결말/끝/단정/종료,매듭
매연,배기가스/배출구,매연
멸종,소멸/사멸/절명,멸종
명색,명목/명목상의,명색
묘미,매력/흡인력,묘미
문명,개명/문운,문명
문턱,문지방,문턱
물질,재료/원료,물질
미궁,미로,미궁
미끼,고기밥,미끼
미덕,덕/덕목/덕행,미덕
미련,정/애착/집심,미련
밑거름,밑바탕/토대/기초,밑거름
밑바탕,밑거름/토대/기초,밑바탕
반란,반역/거사/봉기/난,반란
반발,반발심/저항/항거,반발
방사능,방사성,방사능
방패,방어/차폐,방패
배려,고찰/고려/궁리,배려
본능,본성/모성,본능
본보기,모범/예시/예/사례/보기,본보기
비중,의의/중요성/가치/경중/중요도,비중
사태,상태/형편/사건,사태
성원,응원,성원
상생,공존,상생
소견,의견/견해,소견
소망,소원/희원/희망,소망
소신,신념,소신
손질,수리/수선,손질
솜씨,재주/기량/기능/기술,솜씨
수거,수집,수거
수확,추수,수확
숙명,운명/팔자,숙명
숙원,소원/염원,숙원
숨통,숨구멍,숨통
승산,승운/이길 수 있는 가능성,승산
식이요법,다이어트,식이
신분,계층,신분
실의,실망/저상,실의
심리,내면/심중,심리
심혈,정성,심혈
악취,흑취,악취
안간힘,모질음,안간힘
암시,힌트/귀띔/시사,암시
야심,패기/소망/욕심,야심
어리광(을 피우다/부리다),응석,어리광
엉망진창,엉망/난맥/뒤죽박죽,엉망진창
여백,공란/공백/빈자리,여백
연간,매년,연간
연민(에 빠지다/을 느끼다),불쌍하고 가련하게 여김. 동정심/동정/유감,연민
예언(하다),예고/참언/계시,예언
오산,잘못 셈함. 또는 그 셈,오산
