vocab,syn,morphs
끔찍하다,참혹하다; 극진하다; 혹독하다/심하다2헌신적,끔찍
끝맺다,마무리하다,끝맺
끝없다,무한하다; 다하다; 마지막,끝
끝없이,"무한히, 한없이",끝없이
끝장,마지막,끝장
끼,끼니; 끼니,끼
끼니,끼,끼니
끼얹다,뿌리다; 붓다/따르다//쏟다뿌리다,끼얹
끼치다,돋다; 미치다,끼치
나날,하루하루,나날
나날이,날로,나날이
나뉘다,"갈라지다, 쪼개지다",나뉘
나돌다,"나다니다, 돌아다니다",나돌
나들이,바깥나들이; 외출; 흐르다,나
나르다,"옮기다, 운반하다",나르다
나른하다,노곤하다,나른
나무라다,"꾸중하다, 꾸짖다, 혼내다; 혼내다/야단치다/꾸짖다/꾸중하다",나무라
나부끼다,휘날리다,나부끼
나빠지다,악화되다,나빠
나서다,나오다,나서
나아가다,"전진하다; 진전하다    , 진행하다",나아가
나아지다,호전되다,나아지
나약하다,여리다; 약하다/부실하다,나약
나열,열거,나열
나이프,칼,나이프
나지막하다,"나직하다   , 낮다         , 작다; 나직하다   , 낮다         , 작다",나지막
나침반,나침판,나침반
나타내다,"보이다    , 등장하다; 표현하다; 드러내다    , 보이다",나타내
낙,"기쁨         , 보람      , 즐거움",낙
낙관적∙낙관적,"긍정적   , 긍정적; 긍정적   , 긍정적",낙관
낙방,"불합격      , 탈락        , 떨어지다",낙방
낙심,"상심         , 실망         , 낙담",낙심
낙원,파라다이스,낙원
낙제,유급; 실패하다/떨어지다/불합격/미끄러지다/유급하다,낙제
낙천적∙낙천적,"낙관적 , 낙관적",낙천
낙후,"뒤떨어지다           , 뒤지다         , 오래되다; 뒤에 처지다/뒤떨어지다",낙후
낚다,잡다,낚
난,칸; 지면,난
난감하다,난처하다,난감
난관,"역경           , 곤경            , 어려움",난관
난데없이,"갑자기        , 느닷없이     , 별안간; 갑자기/뜻밖에",난데없이
난로,스토브,난로
난리,난; 야단,난리
난처하다,난감하다; 난감하다/쑥스럽다/멋적다,난처
난치병,불치병,난치병
날로,나날이; 날씨; 날짜,날
날리다,나부끼다,날리
날아가다,"비행하다; 사라지다      , 없어지다",날아가
날아다니다,비행하다,날아다니
날아들다,날아오다,날아들
날아오다,날아들다,날아오
날아오르다,비상하다,날아오르
날카롭다,"뾰족하다; 신랄하다 , 예리하다",날카롭
낡다,오래되다; 오래되다,낡
남,남자; 남쪽; 남자아이; 남성; 남자,남
남김없이,모조리; 빠짐없이/모조리/모두,남김없이
남녀평등,남녀동등,남녀
남다르다,"뛰어나다 , 특별하다,",남다르
남매,오누이,남매
남미,남아메리카,남미
남용,오용; 악용하다/구박하다/학대하다,남용
남한,이남,남한
납득,"수긍, 알아듣다, 이해하다; 받아들이다/수용하다/응하다/이해하다",납득
납부,"납입, 내다; 내다",납부
납치,유괴,납치
낭독,낭송; 읽다,낭독
낭만적∙낭만적,"감상적, 감상적",낭만
낭송,낭독,낭송
낮추다,"내리다    , 떨어뜨리다; 줄이다",낮추
낯,얼굴; 면목,낯
낱낱이,"모두       , 빠짐없이 , 샅샅이    , 싹         , 전부",낱낱이
낱말,단어; 단어,낱말
낳다,"출산하다; 가져오다, 불러오다, 초래하다",낳
내내,"줄곧, 내; 계속계속",내내
내놓다,대접하다; 걸다,내놓
내다보다,바라다보다; 예측하다,내다보
내달,새달,내달
내려놓다,놓아두다,내려놓
내려앉다,무너지다; 가라앉다,내려앉
내륙,"대륙        , 육지",내륙
내리치다,후려치다,내리치
내막,"속내, 속사정  , 실상",내막
내몰다,"내쫓다   , 쫓아내다 , 추방하다; 내쫓다   , 쫓아내다; 몰아내다/축출하다/내쫓다",내몰
내몰리다,내쫓기다; 내쫓기다,내몰리
내밀다,내뻗다,내밀
내뱉다,내뿜다; 뱉다,내뱉
내보내다,방송하다,내보내
내보이다,"드러내다, 제시하다; 내비치다, 드러내다; 내불다; 건네주다; 넘겨주다   , 양도하다; 냄새; 배출하다/발산하다/사출하",내
내복,"내의, 속내복",내복
내비치다,"내보이다, 드러내다",내비치
내세우다,"내걸다    , 내놓다; 내놓다/주장하다/확연하다/단언하다",내세우
내실,실속,내실
내심,속마음,내심
내역,명세,내역
내외,안팎; 안팎; 부부,내외
내용물,내용품,내용물
내젓다,"휘두르다 , 흔들다; 흔들다",내젓
내쫓다,"내몰다, 쫓아내다, 추방하다; 내몰다, 쫓아내다, 추방하다 , 해고하다",내쫓
내치다,"던지다, 뿌리치다",내치
내키다,"들다, 솟아나다",내키
냇가,개천가,냇가
냉기,"한기 , 찬기",냉기
냉담하다,"냉랭하다, 쌀쌀하다; 냉정하다/차갑다/쌀쌀맞다",냉담
냉동,얼리다,냉동
냉수,찬물; 찬물,냉수
냉정하다,"냉담하다, 냉랭하다, 쌀쌀하다",냉정
냉혹하다,매섭다,냉혹
너그럽다,관대하다,너그럽
너무나,너무; 너무,너무나
너무하다너무하다,"심하다    , 지나치다",너무
너비,"넓이 , 폭",너비
넉,"너, 네, 사",넉
넉넉하다,"많다      , 충분하다; 많다      , 충분하다",넉넉
넋,"혼 , 혼백",넋
널다,펼치다,널
널리다,늘비하다,널리
넓이,너비,넓이
넓히다,확장하다,넓
넘겨주다,"건네주다, 양도하다",넘겨
넘기다,지나다; 면하다; 펼치다; 양도하다,넘기
넘나들다,"들락거리다, 들락대다, 들락이다         , 들락날락하다,; 드나들다/넘나들다",넘나들
넘보다,넘겨다보다,넘보
넘어가다,쓰러지다; 속다,넘어가
넘어뜨리다,넘어트리다; 넘어트리다,넘어뜨리
넘어서다,뛰어넘다,넘어서
넘치다,"범람하다; 과하다, 지나치다",넘치
네모,사각형,네모
네모나다,네모지다,네모나
네트워크,"망, 통신망",네트워크
네티즌,누리꾼,네티즌
녀석,놈,녀석
노골적∙노골적,"사실적, 사실적",노골
노년,"늘그막, 만년",노년
노동,근로,노동
노동자,근로자,노동자
노랑,노란색; 노란색,노랑
노려보다,째려보다,노려보
노른자,노른자위,노른자
노릇,구실,노릇
노리다,엿보다,노리
노선,"선로; 방향, 사상",노선
노숙자,노숙인,노숙자
노여움,"화, 분노",노여움
노예,종,노예
